"0",""
"0","# Mostramos las matrices"
"0","models$confmatrix_val$newvariable_model"
"1","Confusion Matrix and Statistics

"
"1","          Reference
"
"1","Prediction"
"1","   0"
"1","   1"
"1","
         0"
"1"," 140"
"1","  21"
"1","
         1"
"1","  24"
"1","  81"
"1","
"
"1",""
"1","                         "
"1","                 "
"1","
"
"1","               Accuracy :"
"1"," 0.8308          "
"1","
"
"1","                 95% CI :"
"1"," (0.7803, 0.8738)"
"1","
"
"1","    No Information Rate :"
"1"," 0.6165          "
"1","
"
"1","    P-Value [Acc > NIR] :"
"1"," 2.211e-14       "
"1","
"
"1","                         "
"1","                 "
"1","
"
"1","                  Kappa :"
"1"," 0.6442          "
"1","
"
"1","                         "
"1","                 "
"1","
"
"1"," Mcnemar's Test P-Value :"
"1"," 0.7656          "
"1","
"
"1","                         "
"1","                 "
"1","
"
"1","            Sensitivity :"
"1"," 0.7941          "
"1","
"
"1","            Specificity :"
"1"," 0.8537          "
"1","
"
"1","         Pos Pred Value :"
"1"," 0.7714          "
"1","
"
"1","         Neg Pred Value :"
"1"," 0.8696          "
"1","
"
"1","             Prevalence :"
"1"," 0.3835          "
"1","
"
"1","         Detection Rate :"
"1"," 0.3045          "
"1","
"
"1","   Detection Prevalence :"
"1"," 0.3947          "
"1","
"
"1","      Balanced Accuracy :"
"1"," 0.8239          "
"1","
"
"1","                         "
"1","                 "
"1","
"
"1","       'Positive' Class :"
"1"," 1               "
"1","
"
"1","                         "
"1","                 "
"1","
"
